,INSPECTION_ID,COMMODITY_COMMON_NAME,COUNTRY_OF_ORIGIN_NAME,PRODUCER_NAME,PROPAGATIVE_MATERIAL_TYPE,QUANTITY,BROKER_NAME,INSPECTION_LOCATION_NAME,PATHWAY,INSPECTION_NUMBER,SHIPPER_NAME,TAXONOMY_ORDER,TAXONOMY_FAMILY,TAXONOMY_GENUS,TAXONOMY_SPECIES,action,RISK_UNIT,TOTAL_SAMPLING_UNITS_FOR_RISK_UNIT,SAMPLING_UNITS_FOR_INSPECTION_UNIT,REQUIRED_NUMBER_OF_BOXES
488,1731318,Vanda hybrid,Vietnam,Not Selected,Rooted Plant (including grafted),2785,AMEX INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_319,Unknown,Asparagales,Orchidaceae,Vanda,hybrid,0,1731318_1,51,5,12
489,1731318,Vanda hybrid,Vietnam,Not Selected,Rooted Plant (including grafted),2785,AMEX INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_319,Unknown,Asparagales,Orchidaceae,Vanda,hybrid,0,1731318_1,51,46,12
490,1731318,Ascocenda hybrid,Vietnam,Not Selected,Rooted Plant (including grafted),325,AMEX INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_319,Unknown,Asparagales,Orchidaceae,Ascocenda,hybrid,0,1731318_1,51,5,12
491,1731318,Vanda hybrid,Vietnam,Not Selected,Rooted Plant (including grafted),2785,AMEX INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_319,Unknown,Asparagales,Orchidaceae,Vanda,hybrid,0,1731318_1,51,46,12
443,1404032,Echeveria sp.,Peru,TAMBOURINE PLANTS,Unrooted Plant,300,ARMS DEALER WORLD GROUP INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_33,TAMBOURINE PLANTS,Saxifragales,Crassulaceae,Echeveria,Unknown,0,1404032_1,2,2,2
444,1404032,Echeveria sp.,Peru,TAMBOURINE PLANTS,Unrooted Plant,300,ARMS DEALER WORLD GROUP INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_33,TAMBOURINE PLANTS,Saxifragales,Crassulaceae,Echeveria,Unknown,0,1404032_1,2,2,2
256,2588333,Ceratopteris sp.,Vietnam,Unknown,Rooted Plant (including grafted),520,TRANS GALACTIC LOGISTICS LLC,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_334,Unknown,Polypodiales,Pteridaceae,Ceratopteris,Unknown,0,2588333_1,37,1,14
460,1668350,Petchoa,Ecuador,Plant Inventions Ecuadora,Unrooted Cutting,1000,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_351,Unknown,Solanales,Solanaceae,Petchoa,Unknown,0,1668350_1,4,1,4
263,1962356,Cycas revoluta,Jamaica,REVERSO LUA SA,"Bulb, Corm, Rhizome, Tuberous Stem",11005,ARMS DEALER WORLD GROUP INC,Miami PIS,Maritime Port - Vessel - Cargo - PIS,INS_357,Inverted Services,Cycadales,Cycadaceae,Cycas,revoluta,0,1962356_1,18,15,11
437,722436,Cyrtochilum,Nicaragua,Burgertown USA,Rooted Plant (including grafted),1,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_37,Portillos Hot Dogs,Asparagales,Orchidaceae,Cyrtochilum,Unknown,0,722436_1,11,1,6
209,1149371,Impatiens hawkerii,Colombia,VIVIANS INTERNATIONAL MAN,Unrooted Cutting,17700,TEST LOGISTICS LTD,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_372,VIVERO INTERNACIONAL SA DE CV,Geraniales,Balsaminaceae,Impatiens,hawkeri,0,1149371_1,22,9,7
210,1149371,Mandevilla sanderi,Colombia,VIVIANS INTERNATIONAL MAN,Unrooted Cutting,2800,TEST LOGISTICS LTD,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_372,VIVERO INTERNACIONAL SA DE CV,Gentianales,Apocynaceae,Mandevilla,sanderi,0,1149371_1,22,11,7
325,2095372,Tradescantia sp.,Colombia,Floral Flowers JD Powers,Unrooted Cutting,12600,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_373,Unknown,Commelinales,Commelinaceae,Tradescantia,Unknown,0,2095372_1,68,1,8
326,2095372,Graptopetalum sp.,Colombia,Floral Flowers JD Powers,Unrooted Cutting,300,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_373,Unknown,Saxifragales,Crassulaceae,Graptopetalum,Unknown,0,2095372_1,68,3,8
327,2095372,Portulaca sp.,Colombia,Floral Flowers JD Powers,Unrooted Cutting,700,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_373,Unknown,Caryophyllales,Portulacaceae,Portulaca,Unknown,0,2095372_1,68,2,8
328,2095372,Phlox sp.,Colombia,Floral Flowers JD Powers,Unrooted Cutting,400,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_373,Unknown,Ericales,Polemoniaceae,Phlox,Unknown,0,2095372_1,68,1,8
329,2095372,Campanula sp.,Colombia,Floral Flowers JD Powers,Unrooted Cutting,100,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_373,Unknown,Asterales,Campanulaceae,Campanula,Unknown,0,2095372_1,68,1,8
330,2095372,Erysimum sp.,Colombia,Floral Flowers JD Powers,Unrooted Cutting,100,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_373,Unknown,Brassicales,Brassicaceae,Erysimum,Unknown,0,2095372_1,68,3,8
331,2095372,Erysimum sp.,Colombia,Floral Flowers JD Powers,Unrooted Cutting,100,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_373,Unknown,Brassicales,Brassicaceae,Erysimum,Unknown,0,2095372_1,68,1,8
439,2098374,Aptenia sp.,Colombia,Floral Flowers JD Powers,Unrooted Cutting,600,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_375,Unknown,Caryophyllales,Aizoaceae,Aptenia,Unknown,0,2098374_1,93,1,8
262,1063386,Aster novae angliae ,Peru,Jimmy Chu HHH,Unrooted Cutting,6000,JORDAN LOVE INT'L CHB INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_387,Unknown,Asterales,Asteraceae,Aster,novae angliae,0,1063386_1,107,1,13
375,2255386,Unknown,Nicaragua,El Poco Loco,Rooted Plant (including grafted),55,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_387,Unknown,Unknown,Unknown,Unknown,Unknown,0,2255386_1,67,1,8
2,730139,Cordyline sp.,Thailand,Sunnyside UP CO LTD,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),5000,JORDAN LOVE INT'L CHB INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_40,Sunnyside UP CO LTD,Asparagales,Asparagaceae,Cordyline,Unknown,0,730139_1,13,2,2
3,730139,Syngonium sp.,Thailand,Sunnyside UP CO LTD,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),15500,JORDAN LOVE INT'L CHB INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_40,Sunnyside UP CO LTD,Alismatales,Araceae,Syngonium,Unknown,0,730139_1,13,4,2
4,730139,Syngonium sp.,Thailand,Sunnyside UP CO LTD,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),15500,JORDAN LOVE INT'L CHB INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_40,Sunnyside UP CO LTD,Alismatales,Araceae,Syngonium,Unknown,0,730139_1,13,2,2
465,1234409,Dracaena sanderiana,Malaysia,Not Selected,Rooted Plant (including grafted),39255,CLUB HOUSE BROKERAGE,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_410,PT Cruiser ,Asparagales,Asparagaceae,Dracaena,sanderiana,1,1234409_1,56,56,22
466,1234409,Dracaena sanderiana,Malaysia,Not Selected,Rooted Plant (including grafted),39255,CLUB HOUSE BROKERAGE,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_410,PT Cruiser ,Asparagales,Asparagaceae,Dracaena,sanderiana,1,1234409_1,56,56,22
59,2125422,Gaillardia,Jamaica,Unknown,Unrooted Cutting,9000,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Asterales,Asteraceae,Gaillardia,Unknown,0,2125422_1,127,1,8
60,2125422,Tradescantia sp.,Jamaica,Unknown,Unrooted Cutting,1400,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Commelinales,Commelinaceae,Tradescantia,Unknown,0,2125422_1,127,1,8
61,2125422,Argyranthemum frutescens ,Jamaica,Unknown,Unrooted Cutting,5900,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Asterales,Asteraceae,Argyranthemum,frutescens,0,2125422_1,127,4,8
62,2125422,Argyranthemum frutescens ,Jamaica,Unknown,Unrooted Cutting,5900,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Asterales,Asteraceae,Argyranthemum,frutescens,0,2125422_1,127,13,8
63,2125422,Petchoa,Jamaica,Unknown,Unrooted Cutting,65200,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Solanales,Solanaceae,Petchoa,Unknown,0,2125422_1,127,13,8
64,2125422,Bacopa sutera,Jamaica,Unknown,Unrooted Cutting,42500,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Lamiales,Plantaginaceae,Bacopa,sutera,0,2125422_1,127,1,8
65,2125422,Lysimachia nummularia,Jamaica,Unknown,Unrooted Cutting,3500,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Ericales,Primulaceae,Lysimachia,nummularia,0,2125422_1,127,18,8
66,2125422,Verbena hortensis,Jamaica,Unknown,Unrooted Cutting,51700,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Lamiales,Verbenaceae,Verbena,hortensis,0,2125422_1,127,4,8
67,2125422,Campanula sp.,Jamaica,Unknown,Unrooted Cutting,4400,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Asterales,Campanulaceae,Campanula,Unknown,0,2125422_1,127,13,8
68,2125422,Gaillardia,Jamaica,Unknown,Unrooted Cutting,9000,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Asterales,Asteraceae,Gaillardia,Unknown,0,2125422_1,127,29,8
69,2125422,Leucanthemum superbum,Jamaica,Unknown,Unrooted Cutting,1000,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Asterales,Asteraceae,Leucanthemum,superbum,0,2125422_1,127,8,8
70,2125422,Scaevola aemula,Jamaica,Unknown,Unrooted Cutting,3400,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Asterales,Goodeniaceae,Scaevola,aemula,0,2125422_1,127,10,8
71,2125422,Sanvitalia sp.,Jamaica,Unknown,Unrooted Cutting,200,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Asterales,Asteraceae,Sanvitalia,Unknown,0,2125422_1,127,18,8
72,2125422,Bidens ferulifolia ,Jamaica,Unknown,Unrooted Cutting,20400,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Asterales,Asteraceae,Bidens,ferulifolia,0,2125422_1,127,1,8
73,2125422,Gaillardia,Jamaica,Unknown,Unrooted Cutting,9000,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Asterales,Asteraceae,Gaillardia,Unknown,0,2125422_1,127,13,8
74,2125422,Angelonia angustifolia,Jamaica,Unknown,Unrooted Cutting,2500,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Lamiales,Plantaginaceae,Angelonia,angustifolia,0,2125422_1,127,13,8
75,2125422,Angelonia angustifolia,Jamaica,Unknown,Unrooted Cutting,2500,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Lamiales,Plantaginaceae,Angelonia,angustifolia,0,2125422_1,127,18,8
76,2125422,Gaillardia,Jamaica,Unknown,Unrooted Cutting,9000,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Asterales,Asteraceae,Gaillardia,Unknown,0,2125422_1,127,10,8
77,2125422,Angelonia angustifolia,Jamaica,Unknown,Unrooted Cutting,2500,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Lamiales,Plantaginaceae,Angelonia,angustifolia,0,2125422_1,127,1,8
78,2125422,Diascia barberae,Jamaica,Unknown,Unrooted Cutting,100,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Lamiales,Scrophulariaceae,Diascia,barberae,0,2125422_1,127,2,8
79,2125422,Cuphea hyssopifolia,Jamaica,Unknown,Unrooted Cutting,21200,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Myrtales,Lythraceae,Cuphea,hyssopifolia,0,2125422_1,127,2,8
80,2125422,Petunia sp.,Jamaica,Unknown,Unrooted Cutting,146600,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Solanales,Solanaceae,Petunia,Unknown,0,2125422_1,127,13,8
81,2125422,Leucanthemum superbum,Jamaica,Unknown,Unrooted Cutting,1000,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_423,Unknown,Asterales,Asteraceae,Leucanthemum,superbum,0,2125422_1,127,2,8
87,922542,Anubias barteri,Vietnam,Greenhouse Corp,Rooted Plant (including grafted),3400,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_43,The Life Aquatic CO,Alismatales,Araceae,Anubias,barteri,0,922542_1,43,2,15
88,922542,Anubias barteri,Vietnam,Greenhouse Corp,Rooted Plant (including grafted),3400,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_43,The Life Aquatic CO,Alismatales,Araceae,Anubias,barteri,0,922542_1,43,1,15
89,922542,Echinodorus bleherae,Vietnam,Greenhouse Corp,Rooted Plant (including grafted),1000,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_43,The Life Aquatic CO,Alismatales,Alismataceae,Echinodorus,bleherae,0,922542_1,43,1,15
90,922542,Microsorum sp.,Vietnam,Greenhouse Corp,Rooted Plant (including grafted),2500,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_43,The Life Aquatic CO,Polypodiales,Polypodiaceae,Microsorum,Unknown,0,922542_1,43,1,15
91,922542,Anubias congensis,Vietnam,Greenhouse Corp,Rooted Plant (including grafted),700,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_43,The Life Aquatic CO,Alismatales,Araceae,Anubias,congensis,0,922542_1,43,1,15
92,922542,Bolbitis sp.,Vietnam,Greenhouse Corp,Rooted Plant (including grafted),1500,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_43,The Life Aquatic CO,Polypodiales,Dryopteridaceae,Bolbitis,Unknown,0,922542_1,43,3,15
93,922542,Microsorum sp.,Vietnam,Greenhouse Corp,Rooted Plant (including grafted),2500,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_43,The Life Aquatic CO,Polypodiales,Polypodiaceae,Microsorum,Unknown,0,922542_1,43,4,15
94,922542,Anubias barteri,Vietnam,Greenhouse Corp,Rooted Plant (including grafted),3400,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_43,The Life Aquatic CO,Alismatales,Araceae,Anubias,barteri,0,922542_1,43,1,15
95,922542,Echinodorus bleherae,Vietnam,Greenhouse Corp,Rooted Plant (including grafted),1000,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_43,The Life Aquatic CO,Alismatales,Alismataceae,Echinodorus,bleherae,0,922542_1,43,2,15
96,922542,Echinodorus sp.,Vietnam,Greenhouse Corp,Rooted Plant (including grafted),600,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_43,The Life Aquatic CO,Alismatales,Alismataceae,Echinodorus,Unknown,0,922542_1,43,1,15
97,922542,Anubias heterophylla,Vietnam,Greenhouse Corp,Rooted Plant (including grafted),300,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_43,The Life Aquatic CO,Alismatales,Araceae,Anubias,heterophylla,0,922542_1,43,4,15
98,922542,Anubias nana,Vietnam,Greenhouse Corp,Rooted Plant (including grafted),3600,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_43,The Life Aquatic CO,Alismatales,Araceae,Anubias,nana,0,922542_1,43,2,15
99,922542,Anubias nana,Vietnam,Greenhouse Corp,Rooted Plant (including grafted),3600,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_43,The Life Aquatic CO,Alismatales,Araceae,Anubias,nana,0,922542_1,43,3,15
100,922542,Echinodorus amazonicus,Vietnam,Greenhouse Corp,Rooted Plant (including grafted),1000,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_43,The Life Aquatic CO,Alismatales,Alismataceae,Echinodorus,amazonicus,0,922542_1,43,1,15
411,1187042,Evolvulus sp.,Venezuela,LLAMA CAFE SA,Unrooted Cutting,2600,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_43,Unknown,Solanales,Convolvulaceae,Evolvulus,Unknown,0,1187042_1,138,3,8
412,1187042,Lobularia sp.,Venezuela,LLAMA CAFE SA,Unrooted Cutting,400,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_43,Unknown,Brassicales,Brassicaceae,Lobularia,Unknown,0,1187042_1,138,18,8
413,1187042,Mecardonia sp.,Venezuela,LLAMA CAFE SA,Unrooted Cutting,1900,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_43,Unknown,Lamiales,Plantaginaceae,Mecardonia,Unknown,0,1187042_1,138,3,8
414,1187042,Osteospermum,Venezuela,LLAMA CAFE SA,Unrooted Cutting,3050,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_43,Unknown,Asterales,Asteraceae,Osteospermum,Unknown,0,1187042_1,138,18,8
415,1187042,Osteospermum,Venezuela,LLAMA CAFE SA,Unrooted Cutting,3050,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_43,Unknown,Asterales,Asteraceae,Osteospermum,Unknown,0,1187042_1,138,6,8
416,1187042,Salvia sp.,Venezuela,LLAMA CAFE SA,Unrooted Cutting,10950,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_43,Unknown,Lamiales,Lamiaceae,Salvia,Unknown,0,1187042_1,138,13,8
417,1187042,Lobelia sp.,Venezuela,LLAMA CAFE SA,Unrooted Cutting,3400,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_43,Unknown,Asterales,Campanulaceae,Lobelia,Unknown,0,1187042_1,138,13,8
418,1187042,Nemesia sp.,Venezuela,LLAMA CAFE SA,Unrooted Cutting,800,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_43,Unknown,Lamiales,Scrophulariaceae,Nemesia,Unknown,0,1187042_1,138,1,8
390,1465436,Strobilanthes sp.,Jamaica,Fidel Castro's Shell Company,Unrooted Cutting,700,TEST LOGISTICS LTD,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_437,Unknown,Lamiales,Acanthaceae,Strobilanthes,Unknown,0,1465436_1,34,2,7
438,1530447,Petunia sp.,Ecuador,Plant Inventions Ecuadora,Unrooted Cutting,9000,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_448,Unknown,Solanales,Solanaceae,Petunia,Unknown,0,1530447_1,29,1,11
469,1678457,Calibrachoa sp.,Venezuela,LLAMA CAFE,Unrooted Cutting,1000,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_458,Unknown,Solanales,Solanaceae,Calibrachoa,Unknown,0,1678457_1,1,1,1
470,1678457,Calibrachoa sp.,Venezuela,LLAMA CAFE,Unrooted Cutting,1000,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_458,Unknown,Solanales,Solanaceae,Calibrachoa,Unknown,0,1678457_1,1,1,1
471,1678457,Calibrachoa sp.,Venezuela,LLAMA CAFE,Unrooted Cutting,1000,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_458,Unknown,Solanales,Solanaceae,Calibrachoa,Unknown,0,1678457_1,1,1,1
472,1678457,Calibrachoa sp.,Venezuela,LLAMA CAFE,Unrooted Cutting,1000,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_458,Unknown,Solanales,Solanaceae,Calibrachoa,Unknown,0,1678457_1,1,1,1
473,1678457,Calibrachoa sp.,Venezuela,LLAMA CAFE,Unrooted Cutting,1000,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_458,Unknown,Solanales,Solanaceae,Calibrachoa,Unknown,0,1678457_1,1,1,1
474,1678457,Calibrachoa sp.,Venezuela,LLAMA CAFE,Unrooted Cutting,1000,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_458,Unknown,Solanales,Solanaceae,Calibrachoa,Unknown,0,1678457_1,1,1,1
475,1678457,Calibrachoa sp.,Venezuela,LLAMA CAFE,Unrooted Cutting,1000,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_458,Unknown,Solanales,Solanaceae,Calibrachoa,Unknown,0,1678457_1,1,1,1
476,1678457,Calibrachoa sp.,Venezuela,LLAMA CAFE,Unrooted Cutting,1000,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_458,Unknown,Solanales,Solanaceae,Calibrachoa,Unknown,0,1678457_1,1,1,1
477,1678457,Calibrachoa sp.,Venezuela,LLAMA CAFE,Unrooted Cutting,1000,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_458,Unknown,Solanales,Solanaceae,Calibrachoa,Unknown,0,1678457_1,1,1,1
478,1678457,Calibrachoa sp.,Venezuela,LLAMA CAFE,Unrooted Cutting,1000,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_458,Unknown,Solanales,Solanaceae,Calibrachoa,Unknown,0,1678457_1,1,1,1
479,1678457,Calibrachoa sp.,Venezuela,LLAMA CAFE,Unrooted Cutting,1000,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_458,Unknown,Solanales,Solanaceae,Calibrachoa,Unknown,0,1678457_1,1,1,1
206,2461460,Pelargonium sp.,Colombia,Floral Flowers J.D. Powers,Unrooted Cutting,91350,ARMS DEALER WORLD GROUP INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_461,Unknown,Geraniales,Geraniaceae,Pelargonium,Unknown,0,2461460_1,59,59,8
207,2461460,Pelargonium sp.,Colombia,Floral Flowers J.D. Powers,Unrooted Cutting,91350,ARMS DEALER WORLD GROUP INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_461,Unknown,Geraniales,Geraniaceae,Pelargonium,Unknown,0,2461460_1,59,59,8
461,2601480,Rudbeckia sp.,Peru,Jimy Chu Peru HHH,Unrooted Cutting,100,JORDAN LOVE INT'L CHB INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_481,Unknown,Asterales,Asteraceae,Rudbeckia,Unknown,0,2601480_1,85,5,8
481,2128495,Lantana camara,Colombia,Floral Flowers JD Powers,Unrooted Cutting,74700,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_496,FRIES ELECTRONICS,Lamiales,Verbenaceae,Lantana,camara,0,2128495_1,147,3,8
482,2128495,Ruellia elegans,Colombia,Floral Flowers JD Powers,Unrooted Cutting,6200,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_496,FRIES ELECTRONICS,Lamiales,Acanthaceae,Ruellia,elegans,0,2128495_1,147,2,8
483,2128495,Crossandra sp.,Colombia,Ben Affleck Argo,Unrooted Cutting,15700,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_496,FRIES ELECTRONICS,Lamiales,Acanthaceae,Crossandra,Unknown,0,2128495_1,147,1,8
264,1011502,Salvia sp.,Congo,Unknown,Unrooted Cutting,1200,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_503,Unknown,Lamiales,Lamiaceae,Salvia,Unknown,0,1011502_1,182,3,8
265,1011502,Calceolaria sp.,Congo,Unknown,Unrooted Cutting,6600,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_503,Unknown,Lamiales,Calceolariaceae,Calceolaria,Unknown,0,1011502_1,182,3,8
266,1011502,Gaura lindeheimeri,Congo,Unknown,Unrooted Cutting,9000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_503,Unknown,Myrtales,Onagraceae,Gaura,lindheimeri,0,1011502_1,182,2,8
137,2381505,Pogostemon sp.,Vietnam,Unknown,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),230,TRANS GALACTIC LOGISTICS LLC,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_506,Unknown,Lamiales,Lamiaceae,Pogostemon,Unknown,0,2381505_1,74,1,16
121,940050,Spathoglottis sp.,Vietnam,Not Selected,Rooted Plant (including grafted),7500,"FALL FOLIAGE, INC.",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_51,Unknown,Asparagales,Orchidaceae,Spathoglottis,Unknown,0,940050_1,15,7,9
396,1259510,Lysimachia nummularia,Vietnam,Land Adventures,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),80,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_511,Billy Holiday TLD,Ericales,Primulaceae,Lysimachia,nummularia,0,1259510_1,44,8,15
397,1259510,Elodea densa,Vietnam,LIFE AQUATIC,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),12672,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_511,LIFE AQUATIC CO.LTD.,Alismatales,Hydrocharitaceae,Elodea,densa,0,1259510_1,44,2,15
398,1259510,Bucephalandra sp.,Vietnam,LIFE AQUATIC,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),80,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_511,LIFE AQUATIC CO.LTD.,Alismatales,Araceae,Bucephalandra,Unknown,0,1259510_1,44,11,15
